Sacrifice ID,ID #,Sample Type,Clear Fiber,Blue Fiber,Blue Film,Blue Foam,Black Film,Black Fiber,Red Fiber,Red Film,Purple Fiber,Grey Fiber,Green Fiber,Total,FL (mm),TL (mm),St. W (g),SV W (g),FW (g),Species,CommonName,Maturity
MP70620,23,B,0,0,0,0,0,0,0,0,0,0,0,0,268,333,4,3,129,R. t,sharpnose,WH
MP70620,23,DF,0,0,0,0,0,0,0,0,0,0,0,0,268,333,4,3,129,R. t,sharpnose,WH
MP70620,24,S,2,0,0,0,0,0,0,0,0,0,0,2,295,367,11,5,176,R. t,sharpnose,WH
MP70620,24,V,1,0,0,0,0,1,0,0,0,0,0,2,295,367,11,5,176,R. t,sharpnose,WH
MP70620,24,B,1,0,0,0,0,0,0,0,0,0,0,1,295,367,11,5,176,R. t,sharpnose,WH
MP70620,24,DF,0,0,0,0,0,0,0,0,0,0,0,0,295,367,11,5,176,R. t,sharpnose,WH
MP71420,1,S,0,1,0,0,0,1,1,0,0,0,0,3,500,637,46,26,1402,C. l,blacktip,PH
MP71420,1,V,3,0,0,0,0,0,0,0,0,0,0,3,500,637,46,26,1402,C. l,blacktip,PH
MP71420,1,B,0,0,0,0,0,0,0,0,0,0,0,0,500,637,46,26,1402,C. l,blacktip,PH
MP71420,1,DF,0,0,0,0,0,0,0,0,0,0,0,0,500,637,46,26,1402,C. l,blacktip,PH
MP71420,2,S,0,1,0,0,0,0,0,0,0,0,0,1,516,652,45,26,1347,C. l,blacktip,MH
MP71420,2,V,0,0,0,0,0,0,0,0,0,0,0,0,516,652,45,26,1347,C. l,blacktip,MH
MP71420,2,B,0,0,0,0,0,0,0,0,0,0,0,0,516,652,45,26,1347,C. l,blacktip,MH
MP71420,2,DF,0,0,0,0,0,0,0,0,0,0,0,0,516,652,45,26,1347,C. l,blacktip,MH
MP72020,1,S,0,0,0,0,0,0,0,0,0,0,0,0,324,406,8,7,220,R. t,sharpnose,WH
MP72020,1,V,3,0,0,0,0,1,0,0,0,0,0,4,324,406,8,7,220,R. t,sharpnose,WH
MP72020,1,B,0,1,0,0,0,0,0,0,0,0,0,1,324,406,8,7,220,R. t,sharpnose,WH
MP72020,1,DF,0,0,0,0,0,0,0,0,0,0,0,0,324,406,8,7,220,R. t,sharpnose,WH
MP72020,2,S,1,0,0,0,0,0,0,0,0,0,0,1,488,613,18,21,963,C. i,finetooth,WH
MP72020,2,V,0,0,0,0,0,0,0,0,0,0,0,0,488,613,18,21,963,C. i,finetooth,WH
MP72020,2,B,0,1,0,0,0,0,0,0,0,0,0,1,488,613,18,21,963,C. i,finetooth,WH
MP72020,2,DF,0,0,0,0,0,0,0,0,0,0,0,0,488,613,18,21,963,C. i,finetooth,WH
MP72020,3,S,0,0,0,0,0,0,0,0,0,0,0,0,370,456,17,6,335,R. t,sharpnose,WH
MP72020,3,V,0,0,0,0,0,0,0,0,0,0,0,0,370,456,17,6,335,R. t,sharpnose,WH
MP72020,3,B,0,1,0,0,0,0,0,0,0,0,0,1,370,456,17,6,335,R. t,sharpnose,WH
MP72020,3,DF,0,0,0,0,0,0,0,0,0,0,0,0,370,456,17,6,335,R. t,sharpnose,WH
MP72020,5,S,1,2,0,0,0,0,0,0,0,0,0,3,468,590,84,11,953,C. l,blacktip,WH
MP72020,5,V,0,0,0,0,0,0,0,0,0,0,0,0,468,590,84,11,953,C. l,blacktip,WH
MP72020,5,B,0,0,0,0,0,0,0,0,0,0,0,0,468,590,84,11,953,C. l,blacktip,WH
MP72020,5,DF,0,0,0,0,0,0,0,0,0,0,0,0,468,590,84,11,953,C. l,blacktip,WH
MP72020,6,S,0,0,0,0,0,0,0,0,0,0,0,0,375,490,59,11,450,S. g,hammer head,WH
MP72020,6,V,0,0,0,0,0,0,0,0,0,0,0,0,375,490,59,11,450,S. g,hammer head,WH
MP72020,6,B,0,0,0,0,0,0,0,0,0,0,0,0,375,490,59,11,450,S. g,hammer head,WH
MP72020,6,DF,0,0,0,0,0,0,0,0,0,0,0,0,375,490,59,11,450,S. g,hammer head,WH
MP72020,7,S,0,0,0,0,0,0,0,0,0,0,0,0,294,365,8,3,168,R. t,sharpnose,WH
MP72020,7,V,0,0,0,0,0,0,0,0,0,0,0,0,294,365,8,3,168,R. t,sharpnose,WH
MP72020,7,B,0,0,0,0,0,0,0,0,0,0,0,0,294,365,8,3,168,R. t,sharpnose,WH
MP72020,7,DF,0,0,0,0,0,0,0,0,0,0,0,0,294,365,8,3,168,R. t,sharpnose,WH
MP72020,8,S,0,0,0,0,0,0,0,0,0,0,0,0,285,350,10,8,152,R. t,sharpnose,WH
MP72020,8,V,0,0,0,0,0,0,0,0,0,0,0,0,285,350,10,8,152,R. t,sharpnose,WH
MP72020,8,B,0,0,0,0,0,0,0,0,0,0,0,0,285,350,10,8,152,R. t,sharpnose,WH
MP72020,8,DF,1,1,0,0,0,0,0,0,0,0,0,2,285,350,10,8,152,R. t,sharpnose,WH
MP72020,9,S,0,0,0,0,0,0,0,0,0,0,0,0,370,486,40,13,446,S. g,hammer head,WH
MP72020,9,V,0,0,0,0,0,0,0,0,0,0,0,0,370,486,40,13,446,S. g,hammer head,WH
MP72020,9,B,0,0,0,0,0,1,0,0,0,0,0,1,370,486,40,13,446,S. g,hammer head,WH
MP72020,9,DF,0,0,0,0,0,0,0,0,0,0,0,0,370,486,40,13,446,S. g,hammer head,WH
MP72020,13,S,1,0,0,0,0,0,0,0,0,0,0,1,303,377,9,6,168,R. t,sharpnose,WH
MP72020,13,V,0,0,0,0,0,0,0,0,0,0,0,0,303,377,9,6,168,R. t,sharpnose,WH
MP72020,13,B,0,0,0,0,0,0,0,0,0,0,0,0,303,377,9,6,168,R. t,sharpnose,WH
MP72020,13,DF,0,0,0,0,0,0,0,0,0,0,0,0,303,377,9,6,168,R. t,sharpnose,WH
MP72020,14,S,0,1,0,0,0,1,1,0,0,0,0,3,408,533,23,11,410,S. l,hammer head,WH
MP72020,14,V,1,0,0,0,0,0,1,0,0,1,0,3,408,533,23,11,410,S. l,hammer head,WH
MP72020,14,B,0,1,0,0,0,0,0,0,0,0,0,1,408,533,23,11,410,S. l,hammer head,WH
MP72020,14,DF,0,0,0,0,0,0,0,0,0,0,0,0,408,533,23,11,410,S. l,hammer head,WH
MP72020,17,S,3,0,1,0,0,1,0,0,0,0,0,5,460,577,36,21,871,C. i,finetooth,WH
MP72020,17,V,3,0,1,0,0,0,0,0,0,0,0,4,460,577,36,21,871,C. i,finetooth,WH
MP72020,17,B,0,0,0,0,0,0,0,0,0,0,0,0,460,577,36,21,871,C. i,finetooth,WH
MP72020,17,DF,0,0,0,0,0,0,0,0,0,0,0,0,460,577,36,21,871,C. i,finetooth,WH
MP72020,18,S,0,0,0,0,0,0,0,0,0,0,0,0,310,386,17,5,208,R. t,sharpnose,WH
MP72020,18,V,0,0,0,0,0,0,0,0,0,0,0,0,310,386,17,5,208,R. t,sharpnose,WH
MP72020,18,B,0,0,0,0,0,0,0,0,0,0,0,0,310,386,17,5,208,R. t,sharpnose,WH
MP72020,18,DF,0,0,0,0,0,0,0,0,0,0,0,0,310,386,17,5,208,R. t,sharpnose,WH
MP72020,20,S,0,0,0,0,0,0,0,0,0,0,0,0,500,633,61,28,1257,C. l,blacktip,WH
MP72020,20,V,0,0,0,0,0,0,0,0,0,0,0,0,500,633,61,28,1257,C. l,blacktip,WH
MP72020,20,B,0,0,0,0,0,0,0,0,0,0,0,0,500,633,61,28,1257,C. l,blacktip,WH
MP72020,20,DF,0,0,0,0,0,0,0,0,0,0,0,0,500,633,61,28,1257,C. l,blacktip,WH
MP72020,21,S,1,1,0,0,0,0,1,0,0,0,0,3,451,570,15,19,749,C. i,finetooth,WH
MP72020,21,V,0,0,0,0,0,1,0,0,0,0,0,1,451,570,15,19,749,C. i,finetooth,WH
MP72020,21,B,1,0,0,0,0,0,0,0,0,0,0,1,451,570,15,19,749,C. i,finetooth,WH
MP72020,21,DF,0,0,0,0,0,0,0,0,0,0,0,0,451,570,15,19,749,C. i,finetooth,WH
MP72020,22,S,0,0,0,0,0,0,0,0,0,0,0,0,502,628,45,32,1284,C. l,blacktip,WH
MP72020,22,V,4,0,0,0,0,0,0,0,0,0,0,4,502,628,45,32,1284,C. l,blacktip,WH
MP72020,22,B,0,0,0,0,0,0,0,0,0,0,0,0,502,628,45,32,1284,C. l,blacktip,WH
MP72020,22,DF,0,1,0,0,0,0,0,0,0,0,0,1,502,628,45,32,1284,C. l,blacktip,WH
MP72020,24,S,0,0,0,0,0,0,0,0,0,0,0,0,505,640,27,20,1267,C. l,blacktip,WH
MP72020,24,V,0,0,0,0,0,0,0,0,0,0,0,0,505,640,27,20,1267,C. l,blacktip,WH
MP72020,24,B,0,0,0,0,0,0,0,0,0,0,0,0,505,640,27,20,1267,C. l,blacktip,WH
MP72020,24,DF,1,1,0,0,0,0,0,0,0,0,0,2,505,640,27,20,1267,C. l,blacktip,WH
MP72120,1,S,6,1,0,0,0,0,0,0,0,0,0,7,535,672,104,43,1683,C. l,blacktip,WH
MP72120,1,V,0,0,0,0,0,0,0,0,0,0,0,0,535,672,104,43,1683,C. l,blacktip,WH
MP72120,1,B,1,0,0,0,0,0,0,0,0,0,1,2,535,672,104,43,1683,C. l,blacktip,WH
MP72120,1,DF,0,0,0,0,0,0,0,0,0,0,0,0,535,672,104,43,1683,C. l,blacktip,WH
MP72120,2,S,0,0,0,0,0,0,0,0,0,0,0,0,468,615,58,31,1204,C. l,blacktip,MH
MP72120,2,V,1,0,0,0,0,0,0,0,0,0,0,1,468,615,58,31,1204,C. l,blacktip,MH
MP72120,2,B,0,0,0,0,0,0,0,0,0,0,0,0,468,615,58,31,1204,C. l,blacktip,MH
MP72120,2,DF,0,0,0,0,0,0,0,0,0,0,0,0,468,615,58,31,1204,C. l,blacktip,MH
MP72120,3,S,2,0,1,0,0,0,0,0,0,0,0,3,443,570,48,20,883,C. i,finetooth,WH
MP72120,3,V,1,0,0,0,0,1,0,0,0,0,0,2,443,570,48,20,883,C. i,finetooth,WH
MP72120,3,B,1,0,0,0,0,0,0,0,0,0,0,1,443,570,48,20,883,C. i,finetooth,WH
MP72120,3,DF,0,0,0,0,0,0,0,0,0,0,0,0,443,570,48,20,883,C. i,finetooth,WH
