Sacrifice ID,ID #,Sample Type,Clear Fiber,Blue Fiber,Blue Film,Blue Foam,Black Film,Black Fiber,Red Fiber,Red Film,Purple Fiber,Grey Fiber,Green Fiber,Total,FL (mm),TL (mm),St. W (g),SV W (g),FW (g),Species,CommonName,Maturity
SC62220,6,B,0,0,0,0,0,0,0,0,0,0,0,0,445,555,15,16,714,C. i,finetooth,WH
SC62220,6,DF,0,0,0,0,0,0,0,0,0,0,0,0,445,555,15,16,714,C. i,finetooth,WH
SC62220,7,S,1,0,0,0,0,0,0,0,0,0,0,1,444,566,10,7,692,C. i,finetooth,WH
SC62220,7,V,1,0,0,0,0,0,0,0,0,0,0,1,444,566,10,7,692,C. i,finetooth,WH
SC62220,7,B,0,0,0,0,0,0,0,0,0,0,0,0,444,566,10,7,692,C. i,finetooth,WH
SC62220,7,DF,0,0,0,0,0,0,0,0,0,0,0,0,444,566,10,7,692,C. i,finetooth,WH
SC62220,8,S,2,0,0,0,0,0,0,0,0,0,0,2,415,523,10,11,668,C. i,finetooth,WH
SC62220,8,V,0,0,0,0,0,0,0,0,0,0,0,0,415,523,10,11,668,C. i,finetooth,WH
SC62220,8,B,0,0,0,0,0,0,0,0,0,0,0,0,415,523,10,11,668,C. i,finetooth,WH
SC62220,8,DF,0,0,0,0,0,0,0,0,0,0,0,0,415,523,10,11,668,C. i,finetooth,WH
SC62220,9,S,0,0,0,0,0,1,0,0,0,0,0,1,420,527,17,17,755,C. i,finetooth,WH
SC62220,9,V,0,0,0,0,0,0,1,0,0,0,0,1,420,527,17,17,755,C. i,finetooth,WH
SC62220,9,B,0,0,0,0,0,0,0,0,0,0,0,0,420,527,17,17,755,C. i,finetooth,WH
SC62220,9,DF,0,0,0,0,0,0,0,0,0,0,0,0,420,527,17,17,755,C. i,finetooth,WH
SC62220,10,S,1,0,0,0,0,0,0,0,0,0,0,1,443,556,13,14,803,C. i,finetooth,WH
SC62220,10,V,1,0,0,0,0,0,0,0,0,0,0,1,443,556,13,14,803,C. i,finetooth,WH
SC62220,10,B,1,0,0,0,0,0,0,0,0,0,0,0,443,556,13,14,803,C. i,finetooth,WH
SC62220,10,DF,0,0,0,0,0,0,0,0,0,0,0,0,443,556,13,14,803,C. i,finetooth,WH
SC62220,11,S,3,0,0,0,0,0,0,0,0,0,0,3,420,531,6,7,631,C. i,finetooth,MH
SC62220,11,V,1,0,0,0,0,0,0,0,0,0,0,1,420,531,6,7,631,C. i,finetooth,MH
SC62220,11,B,1,0,0,0,0,0,0,0,0,0,0,1,420,531,6,7,631,C. i,finetooth,MH
SC62220,11,DF,0,0,0,0,0,0,0,0,0,0,0,0,420,531,6,7,631,C. i,finetooth,MH
SC62220,12,S,1,0,0,0,0,0,0,0,0,0,0,1,434,536,14,12,750,C. i,finetooth,WH
SC62220,12,V,1,0,0,0,0,0,0,0,0,0,0,1,434,536,14,12,750,C. i,finetooth,WH
SC62220,12,B,1,0,0,0,0,0,0,0,0,0,0,1,434,536,14,12,750,C. i,finetooth,WH
SC62220,12,DF,0,0,0,0,0,0,0,0,0,0,0,0,434,536,14,12,750,C. i,finetooth,WH
SC62220,13,S,3,0,0,0,0,0,1,0,0,0,0,4,306,494,10,7,523,C. i,finetooth,MH
SC62220,13,V,0,0,0,0,0,0,0,0,0,0,0,0,306,494,10,7,523,C. i,finetooth,MH
SC62220,13,B,0,0,0,0,0,0,0,0,0,0,0,0,306,494,10,7,523,C. i,finetooth,MH
SC62220,13,DF,0,0,0,0,0,0,0,0,0,0,0,0,306,494,10,7,523,C. i,finetooth,MH
SC62220,14,S,0,0,0,0,0,0,0,0,0,0,0,0,435,548,34,10,783,C. i,finetooth,WH
SC62220,14,V,0,0,0,0,0,0,0,0,0,0,0,0,435,548,34,10,783,C. i,finetooth,WH
